,City,Country,Max Temp,Humidity,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,76.1,92,mist,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Port Blair,IN,80.64,89,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
18,Hithadhoo,MV,81.93,68,overcast clouds,-0.6,73.0833,Scoop Guest House
20,Khudumelapye,BW,79.45,18,clear sky,-23.8833,24.75,
22,Marsh Harbour,BS,81.14,74,few clouds,26.5412,-77.0636,Abaco Beach Resort
29,Puerto Carreno,CO,82.38,74,light rain,6.189,-67.4859,Casa Hotel Victoria
35,Ribeira Grande,PT,75.6,83,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
37,Bintulu,MY,77.41,94,moderate rain,3.1667,113.0333,900 Boutique INN
41,Cayenne,GF,91.44,55,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
42,Atuona,PF,76.46,77,few clouds,-9.8,-139.0333,Villa Enata
44,Tonantins,BR,77.85,91,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
47,Saint George,US,78.44,57,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
48,Victoria,HK,84.33,83,few clouds,22.2855,114.1577,Mini Central
55,Vega De Alatorre,MX,81.16,63,broken clouds,20.0333,-96.6333,Hotel D Luxe
62,Pocoes,BR,80.92,50,broken clouds,-14.5297,-40.3653,Palace poções
63,Bogo,PH,79.9,83,overcast clouds,11.0517,124.0055,Acrige Apartelle
64,Portland,US,78.82,59,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
68,Chas,IN,77.88,84,overcast clouds,23.6333,86.1667,SPOT ON 39531 Hotel Vaibhav
74,San Cristobal,VE,78.98,43,overcast clouds,7.7669,-72.225,Pirineos
75,General Pico,AR,87.53,13,scattered clouds,-35.6566,-63.7568,Euskadi Hotel
80,Muncar,ID,75.4,93,overcast clouds,-8.4333,114.3333,Zaky Homestay
84,Sidi Ali,DZ,78.37,46,scattered clouds,36.0998,0.4206,Khaled
89,Bandarbeyla,SO,76.8,84,broken clouds,9.4942,50.8122,JABIR HOTEL
92,Manta,EC,76.78,73,overcast clouds,-0.95,-80.7333,Balandra Hotel
94,Hirara,JP,81.93,69,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
101,Hilo,US,84.27,76,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
107,Galesong,ID,75.22,80,overcast clouds,-5.3166,119.3661,Sapriadi Appy
116,Ponta Do Sol,PT,76.01,80,scattered clouds,32.6667,-17.1,Hotel do Campo
118,Pilar,BR,84.13,56,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
124,Mecca,SA,84.09,46,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
125,Yueyang,CN,85.93,51,clear sky,29.3333,113.0919,Delong Fortune Hotel
130,Touros,BR,82.42,57,clear sky,-5.1989,-35.4608,INN NEW HORIZON
131,Tautira,PF,77.41,74,light rain,-17.7333,-149.15,Pension Oaoa
133,Mbini,GQ,77.43,83,overcast clouds,1.574,9.6134,Candy Vista Mar Mbini
