,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pacific Grove,US,36.6177,-121.9166,64.54,76,100,4.0,overcast clouds
1,Freeport,US,40.6576,-73.5832,59.97,74,100,21.85,light rain
2,Mataura,NZ,-46.1927,168.8643,47.48,99,37,2.91,scattered clouds
3,Kapaa,US,22.0752,-159.319,76.1,92,100,21.85,mist
4,Busselton,AU,-33.65,115.3333,48.22,78,3,12.57,clear sky
5,Adrar,MR,20.5022,-10.0711,97.36,19,39,8.37,scattered clouds
6,Ola,RU,59.5833,151.2833,32.14,58,90,8.28,overcast clouds
7,Zhob,PK,31.3411,69.4481,73.54,40,0,3.22,clear sky
8,Ushuaia,AR,-54.8,-68.3,46.06,46,0,5.75,clear sky
9,Hasaki,JP,35.7333,140.8333,66.6,60,83,4.74,broken clouds
10,Eureka,US,40.8021,-124.1637,57.92,88,66,4.63,broken clouds
11,Aurora,US,39.7294,-104.8319,67.01,61,100,7.0,overcast clouds
12,Severo-Kurilsk,RU,50.6789,156.125,43.83,68,59,8.86,broken clouds
13,Te Anau,NZ,-45.4167,167.7167,37.58,94,84,0.81,broken clouds
14,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,75,12.66,broken clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,100,11.5,overcast clouds
16,Lebu,CL,-37.6167,-73.65,57.76,72,100,8.72,overcast clouds
17,Port Blair,IN,11.6667,92.75,80.64,89,40,4.61,mist
18,Hithadhoo,MV,-0.6,73.0833,81.93,68,100,12.5,overcast clouds
19,Vaini,TO,-21.2,-175.2,73.56,88,20,8.05,few clouds
20,Khudumelapye,BW,-23.8833,24.75,79.45,18,0,9.53,clear sky
21,Leningradskiy,RU,69.3833,178.4167,25.18,80,100,2.77,overcast clouds
22,Marsh Harbour,BS,26.5412,-77.0636,81.14,74,22,9.17,few clouds
23,Bredasdorp,ZA,-34.5322,20.0403,57.58,87,0,10.29,clear sky
24,Khatanga,RU,71.9667,102.5,22.21,96,100,9.71,overcast clouds
25,Nemuro,JP,43.3236,145.575,55.99,74,9,9.17,clear sky
26,Avarua,CK,-21.2078,-159.775,69.85,83,100,8.05,overcast clouds
27,Cabo San Lucas,MX,22.8909,-109.9124,93.61,58,78,4.0,broken clouds
28,Punta Arenas,CL,-53.15,-70.9167,46.51,53,0,12.66,clear sky
29,Puerto Carreno,CO,6.189,-67.4859,82.38,74,75,2.3,light rain
30,Moranbah,AU,-22.0016,148.0466,66.02,86,62,9.71,broken clouds
