City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2022-09-27 20:44:54,55.7435,-97.8558,57.36,47,40,10.36
1,Pechenga,RU,2022-09-27 20:44:54,69.5259,31.1703,44.6,82,85,7.43
2,Ushuaia,AR,2022-09-27 20:44:54,-54.8,-68.3,53.22,61,20,37.98
3,Mnogovershinnyy,RU,2022-09-27 20:44:55,53.9353,139.9242,36.18,77,90,3.18
4,Igrim,RU,2022-09-27 20:44:55,63.1906,64.4162,26.78,89,59,6.44
5,Bluff,NZ,2022-09-27 20:44:55,-46.6,168.3333,49.8,88,77,4.83
6,Labuhan,ID,2022-09-27 20:44:56,-6.8844,112.2051,76.23,79,36,9.22
7,Tasiilaq,GL,2022-09-27 20:44:56,65.6145,-37.6368,37.56,98,100,1.36
8,Norman Wells,CA,2022-09-27 20:44:56,65.282,-126.8329,46.44,66,20,13.8
9,Port Hedland,AU,2022-09-27 20:44:57,-20.3167,118.5667,62.65,55,43,3.44
10,Lipin Bor,RU,2022-09-27 20:44:57,60.2622,37.9763,44.35,96,100,9.44
11,Barrow,US,2022-09-27 20:44:57,71.2906,-156.7887,30.22,86,75,9.22
12,Albany,US,2022-09-27 20:40:46,42.6001,-73.9662,63.95,74,64,7.92
13,Juneau,US,2022-09-27 20:44:58,58.3019,-134.4197,53.6,94,75,0.0
14,Port Elizabeth,ZA,2022-09-27 20:44:58,-33.918,25.5701,64.69,99,100,17.27
15,Guarapari,BR,2022-09-27 20:44:58,-20.6667,-40.4975,74.89,95,80,10.49
16,Hobart,AU,2022-09-27 20:43:58,-42.8794,147.3294,50.25,94,75,8.05
17,Upernavik,GL,2022-09-27 20:44:59,72.7868,-56.1549,36.93,98,100,13.89
18,Saint George,US,2022-09-27 20:41:02,37.1041,-113.5841,93.25,23,0,16.11
19,Mataura,NZ,2022-09-27 20:44:59,-46.1927,168.8643,49.48,88,46,3.22
20,Ponta Delgada,PT,2022-09-27 20:44:59,37.7333,-25.6667,69.49,73,20,6.91
21,Atar,MR,2022-09-27 20:45:00,20.5169,-13.0499,96.67,31,48,4.36
22,Lobatse,BW,2022-09-27 20:45:00,-25.2167,25.6667,74.7,23,9,12.97
23,Avarua,CK,2022-09-27 20:45:01,-21.2078,-159.775,78.85,89,85,4.61
24,Rikitea,PF,2022-09-27 20:45:01,-23.1203,-134.9692,69.55,58,73,8.68
25,Batemans Bay,AU,2022-09-27 20:45:01,-35.7167,150.1833,58.1,98,100,3.0
26,Nikolskoye,RU,2022-09-27 20:45:02,59.7035,30.7861,48.09,96,11,4.16
27,Busselton,AU,2022-09-27 20:45:02,-33.65,115.3333,49.95,91,15,8.43
28,Hualmay,PE,2022-09-27 20:45:03,-11.0964,-77.6139,64.83,75,99,11.59
29,Carnarvon,AU,2022-09-27 20:45:03,-24.8667,113.6333,66.04,34,1,12.46
30,Cape Town,ZA,2022-09-27 20:44:12,-33.9258,18.4232,58.12,73,0,4.0
31,Campobasso,IT,2022-09-27 20:45:04,41.6333,14.5833,61.81,83,93,14.72
32,Saint-Philippe,RE,2022-09-27 20:45:04,-21.3585,55.7679,65.79,72,44,12.24
33,Butaritari,KI,2022-09-27 20:45:04,3.0707,172.7902,82.78,71,37,17.52
34,Havoysund,NO,2022-09-27 20:45:05,70.9963,24.6622,46.63,81,57,13.71
35,Adrar,MR,2022-09-27 20:45:05,20.5022,-10.0711,98.15,15,89,6.33
36,Vaini,TO,2022-09-27 20:45:05,-21.2,-175.2,73.56,94,75,2.3
37,Puerto Ayora,EC,2022-09-27 20:45:05,-0.7393,-90.3518,75.16,87,81,7.0
38,Atuona,PF,2022-09-27 20:45:06,-9.8,-139.0333,76.62,76,0,17.98
39,Punta Arenas,CL,2022-09-27 20:42:30,-53.15,-70.9167,51.91,50,40,31.07
40,Saskylakh,RU,2022-09-27 20:45:06,71.9167,114.0833,23.47,96,92,6.58
41,Birao,CF,2022-09-27 20:45:07,10.2849,22.7882,72.1,95,96,4.97
42,Saint Anthony,US,2022-09-27 20:45:07,45.0205,-93.218,61.75,39,0,12.66
43,Matara,LK,2022-09-27 20:45:08,5.9485,80.5353,78.12,86,99,11.43
44,Vidim,RU,2022-09-27 20:45:09,56.4088,103.1106,28.31,86,96,4.34
45,Raudeberg,NO,2022-09-27 20:45:09,61.9875,5.1352,51.96,51,100,7.34
46,Otacilio Costa,BR,2022-09-27 20:45:09,-27.4831,-50.1219,60.26,90,100,3.83
47,Bredasdorp,ZA,2022-09-27 20:46:10,-34.5322,20.0403,52.93,92,0,3.36
48,Asau,RO,2022-09-27 20:46:10,46.4333,26.4,58.28,71,99,3.4
49,Luderitz,NA,2022-09-27 20:46:10,-26.6481,15.1594,56.34,68,0,12.17
50,Rivne,UA,2022-09-27 20:46:11,50.6231,26.2274,54.64,84,100,3.13
51,Hokitika,NZ,2022-09-27 20:46:11,-42.7167,170.9667,51.87,93,100,6.15
52,Lebu,CL,2022-09-27 20:46:12,-37.6167,-73.65,53.98,70,0,18.28
53,Ciudad Del Maiz,MX,2022-09-27 20:46:12,22.4,-99.6,73.06,54,53,12.3
54,Quatre Cocos,MU,2022-09-27 20:46:12,-20.2078,57.7625,71.71,65,72,14.67
55,Saint-Andre-Avellin,CA,2022-09-27 20:46:13,45.7168,-75.066,60.98,75,65,5.57
56,Tripoli,LY,2022-09-27 20:42:55,32.8752,13.1875,80.64,71,100,8.37
57,Presidencia Roque Saenz Pena,AR,2022-09-27 20:46:13,-26.7852,-60.4388,82.49,29,70,13.02
58,Alofi,NU,2022-09-27 20:46:14,-19.0595,-169.9187,76.89,88,75,6.91
59,Inirida,CO,2022-09-27 20:46:14,3.8653,-67.9239,84.43,70,100,1.7
60,Provideniya,RU,2022-09-27 20:46:14,64.3833,-173.3,39.31,87,75,8.95
61,Orlik,RU,2022-09-27 20:46:15,52.5178,99.825,40.8,93,100,3.58
62,Shimoda,JP,2022-09-27 20:46:15,34.6667,138.95,67.1,77,15,14.72
63,Bambous Virieux,MU,2022-09-27 20:46:15,-20.3428,57.7575,71.85,60,75,10.36
64,Cayenne,GF,2022-09-27 20:46:15,4.9333,-52.3333,86.04,62,0,12.66
65,Naze,JP,2022-09-27 20:46:16,28.3667,129.4833,72.52,80,2,2.91
66,Alice Springs,AU,2022-09-27 20:46:16,-23.7,133.8833,53.22,75,9,1.99
67,Yellowknife,CA,2022-09-27 20:44:09,62.456,-114.3525,66.72,55,40,10.36
68,Hermanus,ZA,2022-09-27 20:46:17,-34.4187,19.2345,49.8,81,1,4.74
69,Guilin,CN,2022-09-27 20:46:17,25.2819,110.2864,75.31,58,4,5.79
70,Ribeira Brava,PT,2022-09-27 20:46:17,32.65,-17.0667,72.23,74,96,7.92
71,Aykhal,RU,2022-09-27 20:46:18,66.0,111.5,18.0,95,100,7.78
72,Visby,SE,2022-09-27 20:46:18,57.6409,18.296,55.06,94,20,12.66
73,Iberia,US,2022-09-27 20:46:18,29.9502,-91.7507,84.27,24,0,16.11
74,Hilo,US,2022-09-27 20:46:19,19.7297,-155.09,84.27,71,100,8.01
75,Aswan,EG,2022-09-27 20:46:19,24.0934,32.907,93.51,18,24,8.39
76,Kahului,US,2022-09-27 20:45:58,20.8947,-156.47,87.82,61,40,19.57
77,Guane,CU,2022-09-27 20:46:19,22.2025,-84.0875,78.3,88,100,17.72
78,Aitape,PG,2022-09-27 20:46:20,-3.1374,142.3475,77.36,87,100,4.61
79,Maraba,BR,2022-09-27 20:46:20,-5.3686,-49.1178,98.78,34,20,3.44
80,Erzin,TR,2022-09-27 20:46:20,36.9559,36.2,68.76,70,1,2.08
81,Pasni,PK,2022-09-27 20:44:33,25.2631,63.471,78.39,85,6,11.12
82,Fairbanks,US,2022-09-27 20:42:32,64.8378,-147.7164,40.6,92,100,3.44
83,Rauma,FI,2022-09-27 20:46:21,61.1272,21.5113,50.04,81,100,10.69
84,Esperance,AU,2022-09-27 20:46:21,-33.8667,121.9,49.73,82,0,9.6
85,Oistins,BB,2022-09-27 20:46:22,13.0667,-59.5333,82.49,78,40,8.05
86,Simbahan,PH,2022-09-27 20:46:22,6.3032,120.5836,82.96,72,100,8.77
87,Kaitangata,NZ,2022-09-27 20:46:22,-46.2817,169.8464,53.8,77,62,5.21
88,Rock Falls,US,2022-09-27 20:46:23,41.7798,-89.689,63.14,35,0,16.11
89,Staunton,US,2022-09-27 20:46:12,38.1496,-79.0717,68.09,32,75,8.05
90,Sao Filipe,CV,2022-09-27 20:47:23,14.8961,-24.4956,77.97,73,55,5.39
91,Zyryanka,RU,2022-09-27 20:47:23,65.75,150.85,29.7,82,100,6.08
92,Ankpa,NG,2022-09-27 20:47:23,7.3706,7.6253,71.98,95,100,6.51
93,Nisia Floresta,BR,2022-09-27 20:47:24,-6.0911,-35.2086,82.78,68,5,13.15
94,Hithadhoo,MV,2022-09-27 20:47:25,-0.6,73.0833,80.29,77,100,13.62
95,Fortuna,US,2022-09-27 20:47:25,40.5982,-124.1573,65.93,76,91,1.99
96,Iqaluit,CA,2022-09-27 20:47:26,63.7506,-68.5145,37.13,64,75,15.01
97,Pangai,TO,2022-09-27 20:47:26,-19.8,-174.35,75.31,83,75,0.0
98,Shingu,JP,2022-09-27 20:43:30,33.7333,135.9833,70.52,90,91,4.5
99,Cabo San Lucas,MX,2022-09-27 20:43:32,22.8909,-109.9124,95.61,71,0,3.4
100,Kendari,ID,2022-09-27 20:47:27,-3.945,122.4989,74.59,91,96,1.07
101,Lagoa,PT,2022-09-27 20:47:27,39.05,-27.9833,69.55,69,50,17.6
102,Castro,BR,2022-09-27 20:47:28,-24.7911,-50.0119,60.12,98,100,4.34
103,Chuy,UY,2022-09-27 20:47:28,-33.6971,-53.4616,59.23,79,7,6.49
104,Leningradskiy,RU,2022-09-27 20:45:53,69.3833,178.4167,27.72,90,100,2.19
105,Nea Peramos,GR,2022-09-27 20:47:28,38.0076,23.423,76.82,71,92,8.1
106,Dauphin,CA,2022-09-27 20:47:29,51.1494,-100.0502,60.94,44,0,5.75
107,San Cristobal,VE,2022-09-27 20:47:29,7.7669,-72.225,82.58,51,99,5.08
108,Motygino,RU,2022-09-27 20:47:29,58.1831,94.7592,34.88,86,100,7.45
109,Oktyabrskoye,RU,2022-09-27 20:47:29,43.0645,44.7417,48.34,93,68,2.24
110,Bengkulu,ID,2022-09-27 20:47:30,-3.8004,102.2655,75.16,88,89,2.86
111,Morgan City,US,2022-09-27 20:47:30,29.6994,-91.2068,82.99,27,1,14.18
112,Coihueco,CL,2022-09-27 20:47:30,-36.6167,-71.8333,68.74,52,0,8.05
113,Ahipara,NZ,2022-09-27 20:47:31,-35.1667,173.1667,61.56,75,100,12.03
114,Bogovarovo,RU,2022-09-27 20:47:31,58.9785,47.0246,38.71,92,99,7.56
115,Khatanga,RU,2022-09-27 20:47:31,71.9667,102.5,17.76,95,95,4.41
116,Kodiak,US,2022-09-27 20:47:32,57.79,-152.4072,45.91,76,100,0.0
117,Tombouctou,ML,2022-09-27 20:47:32,20.0,-3.0,99.63,12,52,7.63
118,Marsaxlokk,MT,2022-09-27 20:47:32,35.8419,14.5431,74.08,78,20,9.22
119,Impfondo,CG,2022-09-27 20:47:33,1.6381,18.0667,70.14,99,45,2.46
120,Tuktoyaktuk,CA,2022-09-27 20:47:33,69.4541,-133.0374,32.0,100,100,24.16
121,Sinnamary,GF,2022-09-27 20:47:33,5.3833,-52.95,80.96,78,72,13.27
122,Cidreira,BR,2022-09-27 20:47:34,-30.1811,-50.2056,62.74,86,100,13.06
123,Yar-Sale,RU,2022-09-27 20:47:34,66.8333,70.8333,28.4,86,97,9.91
124,Longyearbyen,SJ,2022-09-27 20:43:59,78.2186,15.6401,37.24,87,75,2.3
125,Faanui,PF,2022-09-27 20:47:34,-16.4833,-151.75,78.46,73,3,13.96
126,Saint-Augustin,CA,2022-09-27 20:47:35,51.226,-58.6502,56.88,90,87,9.4
127,Alekseyevka,RU,2022-09-27 20:47:35,50.6309,38.6903,56.17,89,100,12.46
128,Jamestown,US,2022-09-27 20:47:01,42.097,-79.2353,54.01,76,100,14.97
129,Aklavik,CA,2022-09-27 20:47:35,68.2191,-135.0107,32.47,100,100,17.36
130,Ichchapuram,IN,2022-09-27 20:47:36,19.1167,84.7,78.98,86,70,3.33
131,Dikson,RU,2022-09-27 20:47:36,73.5069,80.5464,32.16,65,100,4.97
132,Seoul,KR,2022-09-27 20:44:02,37.5683,126.9778,63.84,94,75,2.3
133,Klaksvik,FO,2022-09-27 20:47:36,62.2266,-6.589,47.32,90,74,19.15
134,Magadan,RU,2022-09-27 20:47:37,59.5667,150.8,42.53,82,100,20.62
135,Bahia Blanca,AR,2022-09-27 20:47:37,-38.7196,-62.2724,59.95,31,0,8.61
136,Kavaratti,IN,2022-09-27 20:47:37,10.5669,72.642,81.84,72,77,15.84
137,Senno,RU,2022-09-27 20:47:38,59.5336,33.9167,43.02,97,94,3.96
138,Mar Del Plata,AR,2022-09-27 20:48:38,-38.0023,-57.5575,55.42,54,0,17.27
139,Mansa,IN,2022-09-27 20:48:38,29.9833,75.3833,76.26,72,0,5.17
140,Gat,IL,2022-09-27 20:48:38,31.61,34.7642,80.4,53,0,4.72
141,Mamallapuram,IN,2022-09-27 20:48:39,12.6264,80.1722,86.05,73,81,4.14
